t,S,I,R
0,81321819.0,8398.833333333334,2469782.1666666665
1,81313357.66666667,8461.333333333334,2478181.0
2,81304603.33333333,8754.333333333334,2486642.3333333335
3,81295387.66666667,9215.666666666666,2495396.6666666665
4,81286404.33333333,8983.333333333334,2504612.3333333335
5,81277395.0,9009.333333333334,2513595.6666666665
6,81268145.5,9249.5,2522605.0
7,81258321.16666667,9824.333333333334,2531854.5
8,81248051.83333333,10269.333333333334,2541678.8333333335
9,81237126.16666667,10925.666666666666,2551948.1666666665
10,81225401.66666667,11724.5,2562873.8333333335
11,81213730.5,11671.166666666666,2574598.3333333335
12,81201837.0,11893.5,2586269.5
13,81189580.16666667,12256.833333333334,2598163.0
14,81176658.16666667,12922.0,2610419.8333333335
15,81163329.5,13328.666666666666,2623341.8333333335
16,81149388.5,13941.0,2636670.5
17,81134630.16666667,14758.333333333334,2650611.5
18,81120090.16666667,14540.0,2665369.8333333335
19,81105461.33333333,14628.833333333334,2679909.8333333335
20,81090526.0,14935.333333333334,2694538.6666666665
21,81074845.16666667,15680.833333333334,2709474.0
22,81058571.66666667,16273.5,2725154.8333333335
23,81041596.33333333,16975.333333333332,2741428.3333333335
24,81023862.0,17734.333333333332,2758403.6666666665
25,81006764.33333333,17097.666666666668,2776138.0
26,80990023.66666667,16740.666666666668,2793235.6666666665
27,80973582.66666667,16441.0,2809976.3333333335
28,80957101.83333333,16480.833333333332,2826417.3333333335
29,80940497.66666667,16604.166666666668,2842898.1666666665
30,80923917.33333333,16580.333333333332,2859502.3333333335
31,80907023.0,16894.333333333332,2876082.6666666665
32,80890778.83333333,16244.166666666666,2892977.0
33,80875308.83333333,15470.0,2909221.1666666665
34,80860267.0,15041.833333333334,2924691.1666666665
35,80845020.33333333,15246.666666666666,2939733.0
36,80828814.33333333,16206.0,2954979.6666666665
37,80811426.33333333,17388.0,2971185.6666666665
38,80792935.66666667,18490.666666666668,2988573.6666666665
39,80774359.66666667,18576.0,3007064.3333333335
40,80755396.0,18963.666666666668,3025640.3333333335
41,80736177.83333333,19218.166666666668,3044604.0
42,80716685.0,19492.833333333332,3063822.1666666665
43,80697092.66666667,19592.333333333332,3083315.0
44,80676978.16666667,20114.5,3102907.3333333335
45,80656010.16666667,20968.0,3123021.8333333335
