t,S,I,R
0,45508603.0,15273.75,6085123.25
1,45508359.4,15503.0,6085137.6
2,45508071.166666664,15480.0,6085448.833333333
3,45507768.28571428,15556.714285714286,6085675.0
4,45507222.85714286,15817.857142857143,6085959.285714285
5,45506654.28571428,16103.285714285714,6086242.428571428
6,45506042.428571425,16432.14285714286,6086525.428571428
7,45505380.0,16811.0,6086809.0
8,45504674.71428572,17231.714285714286,6087093.571428572
9,45503947.0,17677.0,6087376.0
10,45503162.85714286,18178.85714285714,6087658.285714285
11,45502337.0,18722.428571428572,6087940.571428572
12,45501490.571428575,19285.571428571428,6088223.857142857
13,45500594.71428572,19899.285714285714,6088506.0
14,45499636.85714286,20575.571428571428,6088787.571428572
15,45498623.71428572,21307.14285714286,6089069.142857143
16,45497527.28571428,21843.14285714286,6089629.571428572
17,45496363.428571425,22444.428571428572,6090192.142857143
18,45495138.28571428,23105.85714285714,6090755.857142857
19,45493866.0,23813.428571428572,6091320.571428572
20,45492613.71428572,24501.571428571428,6091884.714285715
21,45491272.0,25277.0,6092451.0
22,45489837.571428575,26143.85714285714,6093018.571428572
23,45488344.14285714,26988.14285714286,6093667.714285715
24,45486765.571428575,27918.714285714286,6094315.714285715
25,45485138.428571425,28897.85714285714,6094963.714285715
26,45483460.428571425,29927.571428571428,6095612.0
27,45481587.14285714,31148.428571428572,6096264.428571428
28,45479628.571428575,32453.428571428572,6096918.0
29,45477588.71428572,33836.857142857145,6097574.428571428
30,45475452.14285714,35146.57142857143,6098401.285714285
31,45473210.14285714,36561.57142857143,6099228.285714285
32,45470903.428571425,38040.57142857143,6100056.0
33,45468525.571428575,39589.57142857143,6100884.857142857
34,45466065.428571425,41222.28571428572,6101712.285714285
35,45463467.14285714,42992.142857142855,6102540.714285715
36,45460699.71428572,44931.28571428572,6103369.0
37,45457808.571428575,46603.42857142857,6104588.0
38,45454781.85714286,48406.857142857145,6105811.285714285
39,45451655.85714286,50307.857142857145,6107036.285714285
40,45448537.71428572,52200.57142857143,6108261.714285715
41,45445553.85714286,53957.57142857143,6109488.571428572
42,45442438.428571425,55844.42857142857,6110717.142857143
43,45439210.571428575,57844.0,6111945.428571428
44,45435930.571428575,59239.857142857145,6113829.571428572
45,45432533.0,60753.28571428572,6115713.714285715
46,45429073.85714286,62328.142857142855,6117598.0
47,45425608.428571425,63907.857142857145,6119483.714285715
48,45422198.14285714,65430.42857142857,6121371.428571428
49,45418854.71428572,66885.14285714286,6123260.142857143
50,45415559.571428575,68286.14285714286,6125154.285714285
51,45412231.428571425,68788.85714285714,6127979.714285715
52,45409021.85714286,69169.85714285714,6130808.285714285
53,45405859.14285714,69501.14285714286,6133639.714285715
54,45402653.85714286,69871.57142857143,6136474.571428572
55,45399385.428571425,70303.14285714286,6139311.428571428
56,45396095.0,70757.0,6142148.0
57,45392808.28571428,71204.42857142857,6144987.285714285
58,45389403.28571428,71230.28571428571,6148366.428571428
59,45385882.71428572,71369.57142857143,6151747.714285715
60,45382295.28571428,71575.0,6155129.714285715
61,45378697.571428575,71791.57142857143,6158510.857142857
62,45374783.28571428,72320.28571428571,6161896.428571428
63,45370843.85714286,72871.71428571429,6165284.428571428
64,45366948.0,70051.28571428571,6172000.714285715
65,45363172.28571428,70404.14285714286,6175423.571428572
66,45359531.428571425,70623.28571428571,6178845.285714285
67,45356057.428571425,70672.71428571429,6182269.857142857
68,45352705.571428575,70598.85714285714,6185695.571428572
69,45349620.428571425,70261.71428571429,6189117.857142857
70,45346810.71428572,69650.71428571429,6192538.571428572
71,45344369.428571425,72003.42857142857,6192627.142857143
72,45342147.71428572,71025.57142857143,6195826.714285715
73,45340134.85714286,69841.71428571429,6199023.428571428
74,45338213.14285714,68568.85714285714,6202218.0
75,45336348.71428572,67241.14285714286,6205410.142857143
76,45334582.85714286,65815.42857142857,6208601.714285715
77,45332903.571428575,64303.71428571428,6211792.714285715
78,45331127.71428572,62889.857142857145,6214982.428571428
79,45329447.0,60902.28571428572,6218650.714285715
80,45327855.14285714,58826.28571428572,6222318.571428572
81,45326318.571428575,56695.857142857145,6225985.571428572
82,45324818.28571428,54529.857142857145,6229651.857142857
83,45323356.428571425,52325.142857142855,6233318.428571428
84,45321940.14285714,50076.28571428572,6236983.571428572
85,45320606.571428575,47746.71428571428,6240646.714285715
86,45319368.0,46470.71428571428,6243161.285714285
87,45318216.428571425,45108.71428571428,6245674.857142857
88,45317118.0,43697.857142857145,6248184.142857143
89,45316046.571428575,42259.857142857145,6250693.571428572
90,45315055.571428575,40745.857142857145,6253198.571428572
91,45314127.428571425,39170.42857142857,6255702.142857143
92,45313256.28571428,37540.0,6258203.714285715
93,45312438.428571425,36521.71428571428,6260039.857142857
94,45311669.0,35456.142857142855,6261874.857142857
95,45310943.71428572,34344.71428571428,6263711.571428572
96,45310235.85714286,33218.0,6265546.142857143
97,45309620.0,32000.285714285714,6267379.714285715
98,45309057.0,30732.428571428572,6269210.571428572
99,45308535.428571425,29422.428571428572,6271042.142857143
100,45308055.28571428,28852.14285714286,6272092.571428572
101,45307594.14285714,28264.714285714286,6273141.142857143
102,45307148.14285714,27665.14285714286,6274186.714285715
103,45306717.71428572,27050.571428571428,6275231.714285715
104,45306279.0,26445.14285714286,6276275.857142857
105,45305873.0,25805.428571428572,6277321.571428572
106,45305495.28571428,25138.85714285714,6278365.857142857
107,45305143.28571428,24551.14285714286,6279305.571428572
108,45304825.0,23929.85714285714,6280245.142857143
109,45304530.85714286,23283.714285714286,6281185.428571428
110,45304250.571428575,22624.714285714286,6282124.714285715
111,45303992.14285714,21942.285714285714,6283065.571428572
112,45303855.0,21311.666666666668,6283833.333333333
113,45303730.6,20369.8,6284899.6
114,45303624.75,20453.75,6284921.5
