t,S,I,R
0.0,970,30,0
1.0,965.5603744354852,32.45760675615037,1.9820188083644474
2.0,960.7625461293292,35.11118961344299,4.126264257227842
3.0,955.583668929741,37.97082949675628,6.445501573502771
4.0,950.0004691151045,41.0464004731531,8.953130411742436
5.0,943.9894385625245,44.347395127498665,11.663166309976866
6.0,937.5270659277874,47.88272383944691,14.590210232765727
7.0,930.5901080085887,51.660487466820584,17.74940452459073
8.0,923.1559026226718,55.6877237863588,21.156373590969437
9.0,915.2027232080324,59.97012911224663,24.827147679721016
10.0,906.7101739230134,64.51175781194522,28.778068265041398
11.0,897.659622284354,69.31470395876822,33.025673756877794
12.0,888.0346643465244,74.37877107272473,37.58656458075084
13.0,877.8216151383956,79.70113775227446,42.47724710932994
14.0,867.0100146082768,85.27602890863322,47.71395648308994
15.0,855.5931367963856,91.09440416999738,53.312459033617046
16.0,843.5684875027201,97.14367668539762,59.28783581188223
17.0,830.9382735299358,103.40747686240742,65.65424960765677
18.0,817.709824863001,109.86547634013576,72.42469879686323
19.0,803.895950120464,116.49328754842333,79.61076233111265
20.0,789.5152054896168,123.26245337325628,87.22234113712688
21.0,774.5920583227789,130.14053961416286,95.26740206305821
22.0,759.1569287504891,137.09134002159192,103.75173122791898
23.0,743.2460961032181,144.0751997646397,112.67870413214222
24.0,726.9014615661864,151.04945832483472,122.04908010897886
25.0,710.1701641455487,157.9690072678891,131.86082858656215
26.0,693.1040534062349,164.78695243875848,142.10899415500663
27.0,675.7590291582541,171.45536426028315,152.7856065814628
28.0,658.1942648544663,177.9260944402698,163.87964070526397
29.0,640.47133742549,184.15163295383215,175.3770296206779
30.0,622.6532911461245,190.08597606505572,187.2607327888198
31.0,604.8036665067718,195.68547468523542,199.51085880799275
32.0,586.98552667783,200.90963269916267,212.10484062300736
33.0,569.2605138827203,205.72182703295454,225.01765908432517
34.0,551.6879658804083,210.08992503170387,238.22210908788782
35.0,534.3241190047098,213.9867798629203,251.6891011323699
36.0,517.2214191521806,217.39059075216758,265.38799009565184
37.0,500.42795618146044,220.28512141694222,279.2869224015973
38.0,483.98703085527785,222.65977660867156,293.3531925360505
39.0,467.93685718429424,224.50954275385425,307.5536000618515
40.0,452.31039722946997,225.83480393554842,321.8547988349816
41.0,437.13532041077815,226.64104861318768,336.2236309760342
42.0,422.4340753743225,226.93848539729714,350.6274392283804
43.0,408.22405959721334,226.74158784626724,365.0343525565194
44.0,394.51787016818395,226.0685887054103,379.4135411264059
45.0,381.3236184954886,224.94094341214378,393.73543809236764
46.0,368.64529192348465,223.38278124449656,407.9719268320189
47.0,356.4831462085354,221.42036041704498,422.0964933744197
48.0,344.8341143209469,219.0815409540132,436.08434472503984
49.0,333.69221891323656,216.39528650168882,449.9124945850747
50.0,323.0489778541382,213.39120355988462,463.5598185859771
51.0,312.8937943268781,210.09912405671673,477.0070816164051
52.0,303.2143250147163,206.5487348655716,490.2369401197122
53.0,293.9968217633258,202.76925583413146,503.23392240254276
54.0,285.2264437644229,198.7891661965349,515.9843900390422
55.0,276.88753871955396,194.6359778784227,528.4764834020234
56.0,268.96389260907694,190.33605316771076,540.7000542232123
57.0,261.43894861649727,185.91446348423116,552.6465878992715
58.0,254.29599646063406,181.39488550300393,564.309118036362
59.0,247.51833389232857,176.79953062869936,575.6821354789721
60.0,241.08940244666468,172.14910374203882,586.7614938112965
61.0,234.99289973474993,167.46278720344495,597.5443130618052
62.0,229.2128706386706,162.75824626966843,608.0288830916609
63.0,223.7337797647059,158.05165232430588,618.2145679109882
64.0,218.54056743565778,153.35772061676064,628.1017119475815
65.0,213.6186913823605,148.68975952480315,637.6915490928363
66.0,208.95415614294177,144.05972868643613,646.986115170622
67.0,204.53353200898238,139.4783036742977,655.9881643167199
68.0,200.34396518035996,134.9549452008636,664.7010896187765
69.0,196.3731806127931,130.49797113870528,673.1288482485015
70.0,192.60947886946366,126.11462991286403,681.2758912176724
71.0,189.04172812436744,121.81117406976003,689.1470978058725
72.0,185.65935231270467,117.59293304815444,696.7477146391409
73.0,182.45231628406094,113.46438437279502,704.0832993431441
74.0,179.4111086879447,109.42922266151692,711.1596686505383
75.0,176.52672320843214,105.49042598329692,717.9828508082709
76.0,173.7906386648029,101.65031922990994,724.5590421052872
77.0,171.19479840743233,97.91063426942928,730.8945673231383
78.0,168.73158936193528,94.27256673790978,736.995843900155
79.0,166.39382100868445,90.73682939821249,742.869349593103
80.0,164.17470452830526,87.30370205401107,748.5215934176837
81.0,162.06783229561177,83.97307805436351,753.9590896500247
82.0,160.0671578636976,80.74450746149927,759.1883346748032
83.0,158.16697654564686,77.61723698315565,764.2157864711975
84.0,156.3619066727409,74.59024679224004,769.0478465350191
85.0,154.6468715843336,71.66228437197694,773.6908440436894
86.0,153.01708238508974,68.83189553505818,778.1510220798522
87.0,151.46802148938949,66.09745277155143,782.4345257390592
88.0,149.99542695988416,63.45718108320816,786.5473919569076
89.0,148.59527763695738,60.909181462017315,790.4955409010254
90.0,147.26377904779022,58.45145216892686,794.284768783283
